id,id_grupo,categoria,tipo_producto,titulo,pais,ano,titulo_libro,autores,tipologia
00630,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Consumo de Heroina en Colombia,Colombia,2001,Nuevas Estrategias De Atención En Drogodependencias: La Minimisación De Riesgos,GUILLERMO ALONSO CASTANO PEREZ,1
00631,012,Capítulos de libro publicados,Capítulo de libro,Analítica de datos en la prensa colombiana: la representación del chavismo venezolano,Colombia,2025,Construcción de paz y conflicto armado: reflexiones desde el derecho y la publicidad,CARLOS MARIO BERRIO MENESES,1
00632,012,Capítulos de libro publicados,Otro capítulo de libro publicado,Formación en investigación cualitativa: trayectoria docente y aplicación desde la comunicación visual,Colombia,2025,Semillero de Investigación para docentes: formación,DAVID RICARDO CHAPARRO VILLA,1
00633,012,Capítulos de libro publicados,Capítulo de libro,Que entre el diablo y escoja. Representaciones del conflicto armado y sus actores a través del cine colombiano,Colombia,2024,Ocupaciones,"ALEJANDRA MARIA LAVERDE ROMAN, CARLOS MARIO BERRIO MENESES",1
00634,012,Capítulos de libro publicados,Capítulo de libro,"El humanismo en la construcción y consolidación de la nación, el territorio y la identidad colombiana",Colombia,2023,Territorio y economía civil: Reflexiones humanistas,JORGE ANDRES RICO ZAPATA,1
00635,012,Capítulos de libro publicados,Capítulo de libro,"El humanismo en la construcción y consolidación de la nación, el territorio y la identidad colombiana",Colombia,2023,Territorio y economía civil: Reflexiones humanistas,JORGE ANDRES RICO ZAPATA,1
00636,012,Capítulos de libro publicados,Capítulo de libro,"Periodismo Comunitario como memoria y visibilidad: las casas históricas de la Comuna 15, Guayabal Casas que hablan",Colombia,2022,Retos de la comunicación en la sociedad del conocimiento.,MARCOS VEGA SENA,1
00637,012,Capítulos de libro publicados,Capítulo de libro,Narrativas territoriales en cuatro periódicos comunitarios de Medellín y sus zonas rurales,España,2022,La representación de la ciudad en la sociedad contemporánea,MARCOS VEGA SENA,1
00638,012,Capítulos de libro publicados,Capítulo de libro,¿INCLUYEN LAS UNIVERSIDADES ACTIVIDADES FORMATIVAS RELACIONADAS CON PERIODISMO ALTERNATIVO Y POPULAR?,Colombia,2021,Periodismo universitario en el siglo XXI. Experiencias que transforman. Volumen II,"MARCOS VEGA SENA, MARIA JOSEFA RESTREPO BRAND, MARIELA MARQUEZ QUINTERO",1
00639,012,Capítulos de libro publicados,Capítulo de libro,Descubriendo el trabajo del fixer. Dilemas éticos y retos a la técnica en una experiencia de colaboración internacional entre periodistas universitarios,Colombia,2021,Periodismo universitario en el siglo XXI. Experiencias que transforman. Volumen II,MARCOS VEGA SENA,1
00640,012,Capítulos de libro publicados,Otro capítulo de libro publicado,Descubriendo el trabajo del fixer. Dilemas éticos y retos a la técnica en una experiencia de colaboración internacional entre periodistasuniversitarios,Colombia,2021,Periodismo universitario en el siglo XXI. Experiencias que transforman. Volumen II,"MARCOS VEGA SENA, JOAQUIN ALONSO GOMEZ MENESES, ALEJANDRO GONZALEZ OCHOA",1
