id_investigador,id_prod
0013,00267
0014,00268
0018,00269
0024,00272
0013,00273
0013,00274
0018,00279
0020,00280
0156,00281
0015,00282
0022,00283
0013,00284
0020,00285
0013,00286
0022,00309
0022,00311
0022,00323
0020,00336
0020,00337
0017,00349
0017,00353
0022,00360
0013,00362
0013,00363
0017,00379
0017,00380
0017,00381
0013,00383
0022,00388
0022,00389
0018,00408
0022,00412
0018,00419
0022,00431
0022,00432
0022,00433
0022,00434
0022,00435
0022,00436
0041,00558
0041,00559
0032,00560
0036,00560
0041,00561
0035,00561
0039,00563
0028,00568
0028,00569
0029,00570
0032,00571
0032,00572
0034,00575
0032,00576
0034,00578
0033,00581
0026,00582
0029,00583
0032,00584
0041,00585
0035,00585
0029,00586
0029,00587
0029,00588
0029,00589
0029,00590
0026,00591
0026,00592
0052,00593
0035,00593
0041,00594
0035,00594
0052,00595
0035,00595
0041,00596
0035,00596
0041,00597
0030,00599
0029,00600
0026,00601
0034,00602
0041,00603
0030,00604
0034,00605
0029,00606
0029,00607
0030,00608
0041,00609
0026,00610
0034,00617
0034,00618
0041,00623
0033,00624
0032,00625
0029,00626
0032,00627
0030,00628
0029,00629
0034,00631
0041,00632
0041,00633
0041,00637
0033,00638
0033,00639
0041,00642
0029,00643
0029,00644
0033,00645
0033,00646
0029,00647
0030,00648
0030,00649
0030,00650
0030,00651
0032,00654
0041,00656
0041,00657
0033,00659
0041,00661
0041,00662
0026,00663
0030,00665
0030,00668
0030,00670
0030,00671
0026,00672
0029,00673
0029,00674
0029,00675
0032,00676
0029,00677
0029,00678
0029,00679
0030,00680
0026,00685
0026,00688
0032,00689
0030,00690
0030,00691
0030,00692
0030,00693
0041,00694
0041,00695
0029,00696
0029,00697
0029,00698
0029,00699
0029,00700
0029,00701
0030,00706
0030,00709
0030,00710
0030,00711
0030,00712
0030,00713
0030,00714
0041,00715
0041,00716
0041,00717
0041,00718
0041,00719
0041,00722
0026,00723
0026,00724
0026,00725
0026,00726
0026,00727
0026,00728
0026,00729
0026,00730
0026,00731
0041,00732
0041,00733
0041,00734
0041,00735
0041,00737
0049,00738
0049,00739
0049,00740
0049,00741
0049,00742
0049,00743
0049,00744
0049,00745
0049,00746
0049,00747
0049,00748
0049,00749
0026,00750
0026,00751
0026,00752
0026,00753
0026,00754
0041,00755
0041,00756
0026,00757
0041,00758
0041,00759
0041,00760
0041,00761
0041,00762
0041,00763
0041,00764
0041,00765
0041,00766
0041,00767
0041,00768
0041,00769
0041,00770
0041,00771
0041,00772
0041,00773
0041,00774
0041,00775
0041,00776
0041,00777
0041,00780
0041,00784
0041,00785
0041,00786
0041,00787
0041,00788
0041,00789
0041,00790
0041,00791
0041,00792
0041,00793
0041,00794
0041,00795
0041,00799
0041,00801
0041,00802
0041,00804
0041,00805
0041,00806
0041,00807
0041,00808
0041,00809
0041,00810
0041,00811
0041,00812
0049,00813
0049,00814
0049,00816
0049,00817
0049,00818
0049,00819
0049,00820
0049,00821
0049,00822
0049,00823
0049,00824
0049,00825
0049,00826
0049,00827
0049,00828
0049,00829
0049,00830
0049,00831
0049,00832
0049,00833
0049,00834
0049,00835
0049,00851
0049,00852
0049,00853
0049,00854
0049,00856
0049,00858
0042,00899
0042,00900
0043,00901
0043,00902
0043,00903
0042,00904
0049,00905
0051,00906
0012,00906
0051,00907
0051,00908
0012,00908
0042,00909
0044,00910
0042,00912
0042,00913
0042,00914
0042,00915
0051,00917
0042,00920
0042,00924
0042,00926
0049,00927
0052,00929
0035,00929
0052,00931
0035,00931
0042,00932
0049,00939
0049,00946
0051,00951
0049,00954
0049,00955
0049,00961
0049,00971
0049,00978
0049,00979
0049,00980
0049,00981
0049,00982
0049,00986
0049,00992
0049,00993
0042,00994
0049,00998
0049,00999
0049,01001
0049,01002
0045,01004
0049,01005
0049,01006
0045,01007
0049,01014
0049,01015
0049,01016
0049,01017
0045,01020
0045,01022
0052,01023
0045,01025
0045,01034
0049,01046
0049,01047
0049,01048
0049,01049
0052,01052
0052,01055
0052,01056
0052,01057
0052,01058
0052,01059
0045,01065
0049,01070
0049,01071
0049,01072
0049,01073
0049,01074
0052,01077
0049,01078
0049,01079
0049,01080
0049,01081
0049,01082
0049,01083
0049,01084
0049,01086
0045,01087
0045,01093
0045,01094
0045,01097
0049,01101
0045,01104
0045,01125
0045,01155
0045,01156
0049,01173
0049,01174
0049,01175
0049,01176
0049,01177
