id,id_grupo,categoria,tipo_producto,titulo,pais_revista,revista,ano,autores,ISSN,tipologia,cuartil_scimago,categoria_publindex,ano_fuente_cuartil,ano_fuente_publindex
00003,001,Artículos publicados,Publicado en revista especializada,Diagnóstico del TDAH con Redes Neuronales Convolucionales a partir de rs-fMRI,México,Neuropsicología,2026,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, JUAN PABLO OSPINA LOPEZ, ANDRES JUNIOR GALLEGO GARCES, YAIRA CHAMORRO",01241265,1,No indexada en Scopus,No clasificada en Publindex,,
00004,001,Artículos publicados,Publicado en revista especializada,Oral Disease Classification using CNN,Grecia,WSEAS TRANSACTIONS ON SIGNAL PROCESSING,2026,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ",17905052,1,Q4,C,2025,2017
00001,001,Artículos publicados,Publicado en revista especializada,"Investigación operativa en educación: eficiencia, decisiones y realidades socioeconómicas",Colombia,Revista Lasallista de Investigacion,2026,"PAOLA MARCELA ALZATE MONTOYA, ALEJANDRA HERNANDEZ JARAMILLO, FANNY SOFIA SALGADO ROJAS, JOHANA GARCIA, JUAN MANUEL BOTERO, AURA SOFIA GUEVARA VILLEGSS, GABRIEL ANTONIO MOYANO LONDONO",22563938,1,Q4,C,2025,2023
00002,001,Artículos publicados,Publicado en revista especializada,Structure¿property relationships in subnanometric transition metal tetramers,Inglaterra,RSC ADVANCES,2026,"CACIER ZILAHY HADAD ARRIAGADA, FRANKLIN FERRARO GOMEZ",20462069,1,Q1,A1,2025,2022
00908,006,Artículos publicados,Publicado en revista especializada,Agentes editoriales de IA para la selección de manuscritos en revistas de teología,Colombia,CUESTIONES TEOLOGICAS,2025,"CRISTIAN ALEJANDRO SUAREZ GIRALDO, JUAN SEBASTIAN PARRA SANCHEZ",23899980,1,Q2,C,2025,2023
00303,002,Artículos publicados,Publicado en revista especializada,O PAPEL DO JUIZ E DOS ALGORITMOS NA JUSTIÇA DO SÉCULO XXI,Brasil,NOVOS ESTUDOS JURIDICOS,2025,"JUAN ESTEBAN AGUIRRE ESPINOSA, DIMARO ALEXIS AGUDELO MEJIA",21750491,1,Q3,No clasificada en Publindex,2025,
01131,007,Artículos publicados,Publicado en revista especializada,Action 2.0: un juego serio para la formación psicosocial de trabajadores sociales en entornos de educación a distancia en Colombia,Colombia,PROSPECTIVA,2025,ANGELA JOHANA VARGAS HERNANDEZ,2389993X,1,No indexada en Scopus,C,,2023
01132,007,Artículos publicados,Publicado en revista especializada,"Paradeporte, más allá de la discapacidad",España,REVISTA IBEROAMERICANA DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,2025,"CAROLINA VASQUEZ LOPEZ, ZONAIKA MAIRA POSADA LOPEZ",22550461,1,No indexada en Scopus,No clasificada en Publindex,,
00733,005,Artículos publicados,Publicado en revista especializada,Age and moral disgust: An experimental priming effects vignette study,Colombia,PLOS ONE,2025,"JULIO ANTONIO OLIVERA LA ROSA, GUIDO CORRADI",19326203,1,Q1,A1,2025,2022
00309,002,Artículos publicados,Publicado en revista especializada,Entre la incertidumbre y la esperanza: narrativas de paz territorial de mujeres firmantes de los acuerdos de paz,Colombia,REVISTA VIRTUAL UNIVERSIDAD CATOLICA DEL NORTE,2025,"STEFANI CASTANO TORRES, JENNY MARCELA ACEVEDO VALENCIA",01245821,1,No indexada en Scopus,B,,2023
00308,002,Artículos publicados,Publicado en revista especializada,DERECHOS DE ACCESO EN ASUNTOS AMBIENTALES EN LA COMUNIDAD RAIZAL COMO EXPRESIÓN DE DERECHOS BIOCULTURALES,Brasil,REVISTA DE ESTUDOS EMPIRICOS EM DIREITO,2025,"ANA PATRICIA PABON MANTILLA, JORGE EDUARDO VASQUEZ SANTAMARIA",23190817,1,Q4,No clasificada en Publindex,2025,
00307,002,Artículos publicados,Publicado en revista especializada,Los derechos de acceso en asuntos ambientales. Análisis desde experiencias de defensores ambientales en Colombia,Perú,REVISTA KAWSAYPACHA SOCIEDAD Y MEDIO AMBIENTE,2025,JORGE EDUARDO VASQUEZ SANTAMARIA,25232894,1,Q3,No clasificada en Publindex,2025,
00306,002,Artículos publicados,Publicado en revista especializada,"Acceso a la información como condición previa para la protección jurídica de los derechos bioculturales del pueblo raizal de San Andrés, Providencia y Santa Catalina",Colombia,REVISTA DIREITO GV,2025,ANA MARIA ROLDAN VILLA,23176172,1,Q2,C,2025,2022
00305,002,Artículos publicados,Publicado en revista especializada,"Las formas y los tipos de violencia contra niñas, niños y adolescentes en Medellín como base de transformaciones administrativas",Colombia,RATIO JURIS,2025,JORGE EDUARDO VASQUEZ SANTAMARIA,17946638,1,No indexada en Scopus,C,,2023
00304,002,Artículos publicados,Publicado en revista especializada,"Marco jurídico del uso de la fuerza en Colombia: aplicación en conflictos armados y contextos de violencia, 2023",Colombia,RATIO JURIS,2025,ANA MARIA ROLDAN VILLA,17946638,1,No indexada en Scopus,C,,2023
