id,id_grupo,nombre,vinculacion,horas_dedicacion,inicio_vinculacion,fin_vinculacion,url_x,grupo 2,clasificación,posgrade,id_scholar,orcid,h_index,articulos,softwares,trabajos_dirigidos,capitulos,libros,innovaciones
0027,003,LINA MARCELA SUAREZ RESTREPO,Integrante,5,2022-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001492883,,Investigador Junior (IJ),Doctorado,,,,6,0,9,4,0,0
0028,003,JORMARIS MARTINEZ GOMEZ,Integrante,30,2014-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000045977,,Investigador Senior (IS),Doctorado,3vFUn4wAAAAJ,0000-0002-9863-3505,8.0,16,1,51,5,2,22
0029,003,ANDRES FELIPE ARROYAVE GUTIERREZ,Integrante,2,2026-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002504423,,Sin clasificar,Pregrado/Universitario,,,,0,0,0,0,0,0
0030,003,DANIEL MUNOZ QUINTERO,Integrante,4,2019-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001660142,,Sin clasificar,Pregrado/Universitario,Fp-EtWwAAAAJ,0000-0001-6379-2971,1.0,5,0,3,1,0,0
0031,003,JAIME ALBERTO BELTRAN RIOS,Integrante,10,2015-5-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001434708,,Investigador Asociado (I),Maestría/Magister,bjYfxdwAAAAJ,0000-0001-9194-4864,5.0,53,0,47,0,1,13
0032,003,JOSE ANTONIO LOPEZ GIRALDO,Integrante,6,2015-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000038887,,Investigador Senior (IS),Maestría/Magister,jCYg-jsAAAAJ,0000-0002-4510-2145,5.0,58,0,33,0,1,13
0033,003,JUAN GUILLERMO SALDARRIAGA RIOS,Integrante,8,2012-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000148342,,Investigador Junior (IJ),Doctorado,,,,11,0,67,4,1,0
0034,003,LUIS FERNANDO QUINTERO ARANGO,Integrante,15,2015-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001338621,,Investigador Senior (IS),Doctorado,vu06sqwAAAAJ,0000-0002-6268-065X,8.0,118,1,25,16,2,24
0035,003,MONICA ELIANA ARISTIZABAL VELASQUEZ,Integrante,10,2017-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000324990,,Investigador Senior (IS),Doctorado,JbJUmmcAAAAJ,0000-0003-3057-4374,3.0,6,1,17,19,2,13
0036,003,NESTOR EDUARDO FLOREZ OVIEDO,Integrante,12,2018-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001452620,,Investigador Asociado (I),Maestría/Magister,3oUj4vUAAAAJ,0000-0003-2744-9070,,7,0,25,7,0,0
0037,003,SANDRA MILENA MALAVERA PINEDA,Integrante,12,2017-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001340431,,Investigador Asociado (I),Doctorado,qvBehKYAAAAJ,0000-0001-6568-240X,3.0,5,1,45,19,10,1
